time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
58,0.963745110999065,-1.49342101148234,-1.48699329780762,-0.338963807252673,0.838187764095225,-0.405603312400197,0.426301666459889,0.274557927406892,-0.191896353506409,-0.151740491664623,-0.419746470916996,0.101921547100546,0.206639326485153,-0.0921820044898491,0.172664482547741,-0.197270027704199,-0.19767883296784,0.12629099035924
59,1.00741396909214,-1.46643328710346,-1.50532422945533,-0.355157304485792,0.795222168646241,-0.394735145232147,0.447119183882482,0.265127362665989,-0.174765893209019,-0.172483251243655,-0.43957851599382,0.115904817523017,0.209274034323664,-0.0963279976219089,0.170043580882753,-0.218465248413041,-0.19847914190968,0.154038665654423
60,1.05317353390619,-1.44040896017535,-1.52195476835607,-0.373545820957511,0.750274516419843,-0.382316200624523,0.468072252001177,0.255295834433515,-0.157884350572199,-0.195798234241507,-0.459334188837001,0.13308227209895,0.209301034347992,-0.100124703635102,0.167673116398578,-0.249091324361253,-0.196080275003479,0.19048701480838
61,1.10102325705602,-1.41538543421747,-1.53690860301847,-0.394440251272597,0.703369892542805,-0.367977973028486,0.488868288215129,0.245127282540845,-0.141227768574777,-0.222829503102425,-0.478649829029993,0.154495936404024,0.206090410072635,-0.102967882546962,0.165546694152086,-0.293381442000418,-0.189601191115024,0.239249851649817
62,1.15093013302117,-1.39139028451669,-1.55020686849055,-0.418290563283497,0.654574409066823,-0.351226787191283,0.509150416402375,0.234758772151945,-0.124766823423681,-0.255253044855288,-0.497065961002083,0.181639114989314,0.198993177220552,-0.103987234405786,0.163790924291349,-0.357883032184453,-0.178004930412895,0.305856372283447
63,1.20282225011526,-1.36843241678047,-1.56186674364466,-0.445752829397597,0.604005628164224,-0.331387222756388,0.528497886045476,0.224433202333287,-0.108447092262582,-0.295579118572675,-0.514009714675355,0.216706394276598,0.187389890317968,-0.101918673967305,0.162810553246295,-0.452992555039,-0.160053663935011,0.399014650386442
64,1.25248482156456,-1.3481027448021,-1.57120064034836,-0.475202399317529,0.555811302975862,-0.309472547551555,0.398790339382113,0.157470647159423,-0.0683062678257069,-0.251081375703248,-0.386069032983256,0.189501353969828,-2.52276344949101,-1.08545411276738,0.537401726201696,1.32919468850551,2.45880519654879,-0.958905304505944
65,1.27948424101365,-1.33763530720339,-1.57559228544454,-0.492814671369484,0.529712208169039,-0.296075706298866,0.139186357443476,0.0529966691287906,-0.0214569329118319,-0.0941135329047236,-0.134333856310299,0.0721279234156656,-2.64528479238549,-1.01736545642371,0.420513686940691,1.75067684148662,2.55547547336066,-1.33579307378173
66,1.28247512538436,-1.33456350815136,-1.57797277642048,-0.49438972431684,0.525693501061863,-0.292355123073048,-0.0277830841852884,0.0707801186964368,-0.0764510994098328,0.0379257224687564,-0.0207935207719728,0.0764071882901587,-0.589598705171213,1.48478696485727,-1.59817289042169,0.786766446804869,-0.431629477766891,1.60839141165642
67,1.27664330068022,-1.32010075218237,-1.59347027042452,-0.486837899437625,0.521550135671718,-0.276616816317917,-0.090279350930577,0.217956865556277,-0.231682917464013,0.110808215517476,-0.060794135040523,0.239104343366479,-0.674650909293549,1.45399248812438,-1.49043684123047,0.650030844147116,-0.355223641242422,1.65277565708351
68,1.26447372584561,-1.29225341806198,-1.62261339336711,-0.473432413183489,0.514232637788717,-0.245571162863353,-0.139856001580728,0.303372618178404,-0.312514632346273,0.137753001254576,-0.0744745704183822,0.343800489074334,-0.144672271928117,-0.0477864434802466,0.157318291381547,-0.204327923700814,0.133564209059883,0.0715023004943249
69,1.24972986408459,-1.26216053420731,-1.65308414590958,-0.460676188003816,0.507491354172161,-0.210825556471725,-0.155373818113266,0.298423215699205,-0.296952971284224,0.117404150932884,-0.0599645393814228,0.35118515254038,-0.165803207282378,-0.0514808336197769,0.15415282992709,-0.202373914558046,0.156732913693697,0.0759159449565116
70,1.23332276036896,-1.23258484062433,-1.68201280497306,-0.449941461210251,0.502322913198649,-0.175321568766681,-0.173179439530164,0.292990713327209,-0.281656159961244,0.0973619625664948,-0.0429572347676253,0.358944895818221,-0.190445493371993,-0.0574589330930019,0.151984740290045,-0.198091225101747,0.183525862849546,0.0789405552001354
