"time","ee_y","joint_angle_2","joint_angle_3","joint_angle_6","joint_angle_5","joint_angle_4","ee_z","ee_x","joint_angle_1"
0.318,-0.3193258408438657,4.531411533776594,12.58381953935669,0,45.88992146189706,-46.16194289136564,0.647469137983397,0.2526247845286336,-1.400580992423705
0.32,-0.3185769590128497,4.509175236552729,12.63356502539457,0,46.02101785430379,-46.29430667433501,0.6465409028317031,0.2531787346742924,-1.391970800886149
0.322,-0.3178322127351005,4.486787401804857,12.68296436306691,0,46.15107425444901,-46.42557881286099,0.6456176438756502,0.2537262293111875,-1.383249171589205
0.324,-0.3170915948408441,4.464253060686733,12.73201996919488,0,46.28010038626723,-46.55576978731658,0.6446993563675002,0.2542673414274106,-1.374419246363716
0.326,-0.3163550977597454,4.441577158562649,12.78073423925972,0,46.40810586287463,-46.68488995605045,0.6437860349637982,0.2548021432593564,-1.365484114083045
0.328,-0.3156227135333984,4.418764556257288,12.82910954771911,0,46.53510018813125,-46.8129495571081,0.6428776737430487,0.2553307062976644,-1.356446811323473
0.33,-0.3148944338275703,4.395820031290097,12.87714824832508,0,46.66109275814837,-46.93995870993955,0.6419742662229804,0.2558531012931096,-1.347310323023927
0.332,-0.3141702499439655,4.372748279084737,12.92485267442692,0,46.78609286283033,-47.06592741706904,0.6410758053772689,0.256369398262582,-1.338077583146767
0.334,-0.3134501528318103,4.349553914167991,12.97222513926704,0,46.91010968735959,-47.19086556572896,0.6401822836519889,0.2568796664949584,-1.328751475337256
0.336,-0.3127341330991391,4.326241471349631,13.01926793627389,0,47.03315231365681,-47.31478292948049,0.6392936929816078,0.2573839745569717,-1.319334833581654
0.338,-0.3120221810239445,4.302815406888705,13.06598333934504,0,47.15522972177349,-47.43768916980044,0.6384100248047311,0.2578823902990072,-1.309830442856024
0.34,-0.3113142865647114,4.279280099637883,13.11237360312322,0,47.27635079136818,-47.55959383763403,0.6375312700792424,0.2583749808610187,-1.300241039785267
0.342,-0.310610439371094,4.255639852176738,13.1584409632738,0,47.39652430302931,-47.68050637494052,0.636657419297314,0.2588618126782612,-1.290569313289204
0.344,-0.3099106287940426,4.23189889192704,13.20418763674394,0,47.51575893967111,-47.80043611619585,0.6357884624999053,0.2593429514871234,-1.280817905228191
0.346,-0.3092148438957646,4.208061372251409,13.24961582201858,0,47.63406328788091,-47.91939228987548,0.6349243892909446,0.2598184623309114,-1.270989411045411
0.348,-0.3085230734595641,4.184131373541771,13.29472769937692,0,47.75144583920068,-48.03738401991792,0.6340651888512753,0.2602884095655494,-1.261086380403368
0.35,-0.3078353059992349,4.160112904284477,13.33952543113689,0,47.8679149914548,-48.15442032715303,0.6332108499521195,0.2607528568653766,-1.251111317820611
